Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Lawline,"Lawline provides online continuing legal education (CLE) for attorneys, offering courses on a wide range of practice areas and legal technology.",Lawline Unlimited,"Lawline Unlimited offers a subscription for unlimited access to CLE courses, allowing attorneys to fulfill their CLE requirements and advance their professional growth.","Knowledge, Search & Precedent Management",Continuing Legal Education (CLE),Provides attorneys with the necessary CLE credits and professional growth opportunities.,Corporate legal; Private practice,,North America (US & Canada),No,,,Subscription (SaaS),Yes,Mainstream / Proven,Very Easy,Cloud (SaaS),Other / Not Specified,English only,,,Other,,,,"Browse real reviews from over 1,600+ Lawline members on Trustpilot.",,https://www.lawline.com,"Available from 8AM – 8PM Eastern via chat, email, and phone."
Lawrissa,"Lawrissa is designed for modern law firms to streamline client intake and onboarding using AI, automating client information capture, document organization, and case-ready brief preparation.",Lawrissa,"Lawrissa helps law firms automate client intake, onboarding, and case preparation with AI, reducing time spent on repetitive administrative tasks.","Matter, Workflow & Intake Management",Client intake and onboarding automation,"Automates client intake and onboarding, reducing administrative workload for law firms.",Corporate legal; Private practice,,,Yes,,,,Yes,Emerging / New Entrant,,Cloud (SaaS),Corporate,,,,,,,,,,https://lawrissa.com,
Layerup,"Layerup provides AI agents for financial institutions, offering end-to-end automation and integration with enterprise systems.",Agentic OS,Agentic OS orchestrates enterprise systems to deploy autonomous AI agents for automation in financial services.,AI Legal Assistants & Productivity Tools,AI agents for financial services automation,Automates and enhances operational efficiency in financial institutions through AI agents.,Corporate legal; Financial Services,Enterprise-grade,North America (US & Canada),Yes,Large Language Model (LLM) Platforms; Conversational / Copilot Layer,,Enterprise Custom Quote,Yes,Growing Adoption,Complex,Cloud (SaaS),Financial Services,Multilingual (supports major global languages),,,,,GDPR Compliance (EU),,,,https://www.uselayerup.com,Email Us
Legal Engine,"Legal Engine is building a team of agentic voice AI assistants designed to transform how law firms grow by improving information flow, automating routine tasks, and freeing teams to focus on what matters.",Leonard,"Leonard is an AI assistant designed to streamline the process of creating matter summaries for use across the firm, capable of writing directory submissions, content for pitches, website updates, and integrating with CRMs and matter management platforms.",AI Legal Assistants & Productivity Tools,Voice AI for Professional Services,"Improving information flow, automating routine tasks, and freeing teams to focus on what matters in law firms.",Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,,,,Emerging / New Entrant,,,Professional Services,Multilingual (supports major global languages),,,,,,,,,https://legalengine.co.uk,
LEGALFLY,"LEGALFLY is a secure, agentic AI workspace designed for in-house legal, compliance, and procurement work, focusing on automating workflows and enhancing operational efficiency.",Secure Legal AI Associate,"A secure AI workspace for in-house legal, compliance, and procurement work, offering automation of legal checks, contract review, compliance, and due diligence.",AI Legal Assistants & Productivity Tools,"Contract review,compliance,drafting,and due diligence automation.","Streamlining legal review and drafting, fast-tracking compliance, reducing risk, and automating legal checks and approvals.",Corporate legal,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,,,Growing Adoption,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.legalfly.com,
LegalGraph,"LegalGraph provides custom AI agents for legal workflows, allowing users to build AI tools for contract drafting, review, and assessment.",LegalGraph AI,"LegalGraph AI offers pre-built agents for contract review, redlining, and multi-contract analysis, customizable to leverage user expertise.",Contracting & Document Automation,"Contract review,redlining,and multi-contract analysis","Automates contract drafting, review, and assessment to ensure compliance and identify risks.",Corporate legal; Contract Management Teams / Procurement,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,Freemium / Free Trial,Yes,Emerging / New Entrant,Very Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://legalgraph.ai,
LegalMike,"LegalMike is an AI-powered legal assistant designed to provide legal professionals with quick and comprehensive access to legal information, including legislation, case law, and validated web sources.",LegalMike,"LegalMike is a smart legal assistant that provides resources for every argument, offering quick answers and in-depth advice based on the latest legal information.",AI Legal Assistants & Productivity Tools,Legal research and document drafting assistance,Provides quick and comprehensive legal information to support legal professionals in their practice.,Corporate legal; Private practice,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English + Limited Other Languages,"Heresingel 19, Groningen",,,,GDPR Compliance (EU),,"LegalMike is praised for its speed, ease of use, and comprehensive legal information.",,https://legalmike.ai,085 006 4686
LegalOn,"LegalOn provides AI-powered solutions for contract review and management, helping legal teams review faster, redline precisely, and maintain consistency with customizable playbooks.",LegalOn,LegalOn is an AI-powered contract review tool that helps legal teams review and redline contracts quickly and accurately using customizable playbooks and attorney-curated guidance.,Contracting & Document Automation,AI-powered contract review and redlining with customizable playbooks.,"Reduces time and effort in contract review by providing instant analysis and precise redlines, ensuring consistency and risk management.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,,,,SOC 2 (Type I or II),,,,https://www.legalontech.com,
"LegalSifter, Inc.",LegalSifter provides AI-powered contract review and management solutions designed to streamline contract processes and improve accuracy.,"LegalSifter ReviewPro, LegalSifter Control","LegalSifter ReviewPro and LegalSifter Control are AI-powered solutions for contract review and management, designed to reduce review times and improve contract data accuracy.",Contracting & Document Automation,"Contract Review,Contract Management",Reduces contract review times and improves contract data accuracy.,Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Other / Not Specified,English only,,,,,,,Positive feedback on reduced contract review times and improved legal operations.,,https://www.legalsifter.com,
Legistify,"Legistify is an AI-First software that helps enterprises streamline legal operations, reduce manual tasks, and boost efficiency to manage legal work at scale.",LegisTrak,"LegisTrak is a legal operations command center that covers the end-to-end lifecycle of legal processes, including auto generation, collaboration, execution, and tracking obligations.",Legal Operations & Analytics,"Contract Management,Litigation Management,IP Tracking,Notice Management","Streamlines legal operations, reduces manual tasks, and boosts efficiency.",Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"Gurugram, HR, India","Gurugram, HR, India",,,,,Rated by Experts Leading legal support provider 4.9 /5,4.9,https://legistify.com,"+917290084470, Plot No. 4, 2nd Floor, Minarch Towers, Sec 44, Gurugram, HR 122003"
Legora,"Legora provides a suite of AI-powered tools designed to streamline legal workflows, enhance team collaboration, and allow legal professionals to focus on strategic tasks.",Legora Platform,"A collaborative AI workspace for lawyers, offering tools for document review, drafting, legal research, and workflow orchestration.",AI Legal Assistants & Productivity Tools,"Document review,drafting,legal research,workflow orchestration",Streamlining legal workflows and enhancing collaboration to allow lawyers to focus on strategic tasks.,Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Europe / UK,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,Sweden,,,ISO 27001,SOC 2 (Type I or II),,,,https://legora.com,
LexCheck,"LexCheck provides AI-powered contract review solutions, offering comprehensive insights and accurate redlines for contracts within MS Word.",LexCheck,"AI-powered contract review tool that provides comprehensive insights and accurate redlines for contracts, integrated within MS Word.",Contracting & Document Automation,,Reduces time and resources spent on contract review by providing instant insights and accurate redlines.,Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,,,,,,,,,,https://www.lexcheck.com,
